[2025-03-13 07:15:05,334][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,335][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,336][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,337][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,338][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,339][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,340][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,340][__main__][INFO] - Iteration: 0	Episode Reward: 588.79	Moving Avg Reward: 588.79
[2025-03-13 07:15:05,341][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,342][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,343][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,344][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,345][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,346][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,347][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,348][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,349][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,350][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,351][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,352][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,353][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,354][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,355][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,356][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,357][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,358][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,359][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,360][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,362][__main__][INFO] - Computed throughput reward (raw): 2.49
[2025-03-13 07:15:05,363][__main__][INFO] - Computed throughput reward (raw): 2.49
