[2025-03-13 05:54:11,772][__main__][INFO] - Iteration: 114	Episode Reward: 588.82	Moving Avg Reward: 590.93
[2025-03-13 05:54:11,868][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:12,076][__main__][INFO] - Iteration: 115	Episode Reward: 590.48	Moving Avg Reward: 591.10
[2025-03-13 05:54:12,283][__main__][INFO] - Iteration: 116	Episode Reward: 594.20	Moving Avg Reward: 591.40
[2025-03-13 05:54:12,490][__main__][INFO] - Iteration: 117	Episode Reward: 589.30	Moving Avg Reward: 590.95
[2025-03-13 05:54:12,817][__main__][INFO] - Iteration: 118	Episode Reward: 589.56	Moving Avg Reward: 591.00
[2025-03-13 05:54:13,024][__main__][INFO] - Iteration: 119	Episode Reward: 593.56	Moving Avg Reward: 591.25
[2025-03-13 05:54:13,122][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:13,330][__main__][INFO] - Iteration: 120	Episode Reward: 591.79	Moving Avg Reward: 591.16
[2025-03-13 05:54:13,536][__main__][INFO] - Iteration: 121	Episode Reward: 588.78	Moving Avg Reward: 591.17
[2025-03-13 05:54:13,743][__main__][INFO] - Iteration: 122	Episode Reward: 593.46	Moving Avg Reward: 591.25
[2025-03-13 05:54:13,951][__main__][INFO] - Iteration: 123	Episode Reward: 591.53	Moving Avg Reward: 591.15
[2025-03-13 05:54:14,158][__main__][INFO] - Iteration: 124	Episode Reward: 588.79	Moving Avg Reward: 591.15
[2025-03-13 05:54:14,255][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:14,464][__main__][INFO] - Iteration: 125	Episode Reward: 592.59	Moving Avg Reward: 591.36
[2025-03-13 05:54:14,670][__main__][INFO] - Iteration: 126	Episode Reward: 592.66	Moving Avg Reward: 591.20
[2025-03-13 05:54:14,877][__main__][INFO] - Iteration: 127	Episode Reward: 588.65	Moving Avg Reward: 591.14
[2025-03-13 05:54:15,084][__main__][INFO] - Iteration: 128	Episode Reward: 592.48	Moving Avg Reward: 591.43
[2025-03-13 05:54:15,292][__main__][INFO] - Iteration: 129	Episode Reward: 592.66	Moving Avg Reward: 591.34
[2025-03-13 05:54:15,382][__main__][INFO] - Batch update (after 5 episodes): Loss = -0.0218
[2025-03-13 05:54:15,590][__main__][INFO] - Iteration: 130	Episode Reward: 592.60	Moving Avg Reward: 591.42
